39 14 8
41 22 1
89 77 12
26 40 6
17 22 22
31 18 23
34 28 29
62 50 8
23 4 5
45 13 36
45 18 9
89 61 23
113 71 28
44 35 15
31 51 24
60 40 14
51 52 8
77 33 12
14 18 20
67 22 14
17 3 1
71 36 23
21 41 29
17 28 1
50 40 11
82 34 22
105 27 14
129 55 41
55 17 6
70 61 54
4 16 10
28 14 9
47 40 14
36 75 38
64 50 7
24 18 8
136 35 19
55 35 7
29 37 7
54 44 13
55 25 8
25 14 16
20 22 7
32 14 23
92 89 6
15 25 3
59 111 51
19 25 8
18 40 15
31 18 4
45 7 3
23 28 8
80 50 33
54 49 28
91 41 30
42 23 14
29 18 24
23 24 14
57 23 26
30 27 29
16 32 28
6 22 14
52 32 19
67 33 8
13 49 4
159 92 83
69 54 11
32 2 0
12 13 3
50 39 11
87 18 11
23 10 3
55 35 8
62 34 8
26 9 8
55 20 9
112 44 32
26 17 5
61 26 46
38 28 17
27 29 3
70 33 27
30 48 27
45 24 10
30 29 4
44 12 5
26 50 16
78 68 30
116 109 68
71 100 37
20 5 5
7 36 5
28 7 8
9 7 28
93 57 49
84 45 56
33 29 14
43 19 30
92 29 37
42 21 1
74 65 33
73 19 21
14 23 12
34 7 3
22 16 5
19 9 3
22 8 8
36 16 7
9 21 3
21 3 1
32 17 2
33 15 22
7 13 2
26 28 24
19 26 19
2 11 16
40 16 7
26 18 3
5 19 4
23 19 9
6 22 11
51 67 32
11 16 5
66 36 24
51 39 19
27 5 15
4 12 4
26 16 10
94 34 59
14 22 5
24 9 14
11 9 4
36 5 8
21 23 23
47 14 3
62 14 9
21 16 1
7 30 12
2 9 3
26 18 14
23 33 21
18 18 29
22 18 1
5 12 3
19 23 3
47 18 4
37 9 20
15 46 8
27 19 32
43 27 5
54 55 28
36 84 18
27 27 18
63 60 24
40 23 2
75 32 33
33 53 17
30 26 6
38 42 26
79 28 18
21 23 8
24 27 7
24 10 0
13 11 20
24 14 4
22 21 24
11 17 5
10 43 4
21 38 7
26 7 7
31 5 19
2 15 26
19 40 26
31 24 17
0 16 1
40 26 18
10 19 10
18 27 4
37 8 9
20 6 19
26 26 23
26 11 13
40 12 16
36 25 6
50 37 32
32 28 9
5 11 0
22 20 7
13 13 5
32 17 4
45 13 1
41 21 4
26 24 9
15 18 36
61 19 22
53 25 13
41 33 14
61 45 35
42 38 12
28 39 2
15 33 12
10 19 4
69 53 26
65 41 33
19 17 4
35 17 28
55 86 23
58 38 25
31 30 42
28 34 26
40 63 35
59 60 67
26 50 36
37 39 12
102 60 30
71 76 34
26 29 16
12 26 8
54 44 22
33 30 5
7 59 7
43 43 35
46 34 14
26 24 22
43 18 5
41 41 35
18 12 21
13 6 20
70 43 18
22 11 8
11 61 9
43 26 7
41 27 17
35 51 16
83 54 19
29 8 18
32 42 27
14 53 11
40 49 36
35 28 21
40 40 53
35 17 38
4 11 16
4 32 26
45 20 31
58 80 79
36 25 4
13 12 9
33 10 4
118 77 76
47 5 4
51 26 40
38 30 22
21 16 23
35 24 8
6 9 18
28 20 6
29 15 13
62 41 26
103 36 7
7 14 5
40 18 34
27 21 14
41 21 18
11 16 7
19 37 14
39 24 19
42 28 34
61 42 20
68 104 24
24 36 41
19 21 4
5 26 4
71 15 48
38 34 31
31 9 18
4 36 20
31 24 43
41 31 12
16 6 7
69 80 20
45 19 20
68 38 36
32 22 53
13 39 43
58 33 7
46 50 9
45 13 11
25 57 14
39 65 52
26 3 3
44 29 52
35 27 44
14 32 16
5 20 21
17 15 4
26 30 21
47 19 11
53 39 5
40 28 6
34 12 20
37 56 42
26 20 38
65 65 13
33 35 22
41 35 12
18 24 8
17 36 2
71 51 36
20 16 48
44 31 14
36 16 45
54 57 62
66 104 51
12 42 28
20 14 40
23 47 9
73 30 31
21 16 24
57 19 10
16 25 12
54 49 13
45 54 22
18 22 7
38 47 36
24 38 11
45 55 13
71 38 18
10 10 11
8 22 10
18 21 15
28 18 23
69 61 52
24 31 50
13 8 39
16 14 36
49 27 32
18 27 56
17 32 15
9 6 17
34 49 17
14 24 43
27 31 25
22 16 24
15 19 16
27 46 19
9 14 16
20 18 16
53 43 21
55 15 26
28 28 5
55 33 13
78 53 33
11 20 35
25 40 29
42 22 49
67 38 36
29 16 4
23 35 37
9 17 18
26 45 38
39 19 28
43 31 57
36 29 63
19 10 0
27 40 45
41 16 14
79 68 86
24 15 19
23 17 21
88 86 68
25 15 48
24 6 25
19 19 24
62 10 17
8 14 15
9 33 43
13 19 19
16 52 16
71 53 45
39 68 37
44 22 22
52 47 15
31 24 17
41 66 29
23 42 47
80 35 23
16 21 24
63 25 27
41 51 24
15 34 9
90 92 86
36 56 22
42 60 57
34 32 10
39 33 27
57 38 28
98 56 79
63 39 27
27 65 24
